AFG,AGO,ALB,ARG,AUS,AUT,BDI,BEL,BEN,BFA,BGR,BHR,BHS,BMU,BOL,BRA,BRB,BRN,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CRI,CUB,CYP,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FJI,FRA,GAB,GBR,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,MAR,MDG,MEX,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,NCL,NER,NGA,NIC,NLD,NOR,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,RUS,SDN,SEN,SGP,SLE,SLV,SOM,SUR,SWE,SYR,TCD,TGO,THA,TTO,TUN,TUR,TWN,UGA,URY,USA,VEN,VNM,VUT,WSM,YEM,ZAF
90.26415234631104,7563.813745437967,4243.15020096059,15333.27844147897,11020.750968757116,4557.808571393581,5842.157164828004,5326.836644764265,7323.327350471013,7456.055882855118,3805.976513774346,1917.156700553781,12425.31779652535,11087.733681875256,15096.343163281448,13180.015344681413,12369.003548686622,5818.0719605847535,6071.669684818256,10508.324909121611,5129.577722523066,16257.021740040256,4369.9928541440895,8061.535679360848,6608.678596610923,7100.182965119895,14065.929636554005,5796.582698794528,14258.965361746088,12857.479452709857,3159.983517061913,4934.421284353345,3610.345877896368,4848.241384250065,12621.419547809775,5759.415490780771,15030.77864306084,3496.8980448417974,6123.391303252624,4098.691386909319,4236.522411500927,12938.153655032636,5489.888222117086,7160.384485529043,5689.183570448634,7678.898222022947,8565.665511670937,8674.603813193231,8690.771734278342,7018.456379820411,3972.515601504111,14092.999068347086,12763.445209979876,4649.385370691614,13926.539492559285,12767.794885669437,4257.652749137471,6048.273387522893,1578.1076362972306,6047.218268869229,1428.4156659765138,2149.5766780022186,6560.93997218418,3084.392577058985,4866.299850502699,13095.921854755425,2995.340216443672,6154.539157984112,5158.485814544717,4461.521058862419,5266.729220530699,1978.6144716991216,3954.113096132367,2979.234888897951,8564.505416354425,4781.017833949196,3268.0784860442063,6724.651757519536,6369.428163377818,13572.40442010189,7845.174871613146,4811.928206412783,3318.5890221369145,3382.2182816321438,7065.662331230175,8248.420172427588,6221.728919775447,12083.990308158684,6666.798792063775,6982.495280800157,14134.681265619223,5259.088566012187,5011.492690532806,13644.59004938283,1634.8101595888904,665.7519162803284,14139.6303577805,15595.23805200542,5844.130984904571,9483.263615602493,4281.975745182312,5104.9883014929965,6684.135369966316,14707.60581622402,1903.6622430371492,2957.4152932607453,4197.705002698514,8654.79922200955,5243.380667019782,8639.216399619198,14127.754934881908,4180.245736231558,12331.626768405024,4636.476413205505,2812.356840757673,5842.391164194495,7457.437322645873,3999.327161897868,12718.808073723085,5176.617723311839,3197.643155654513,5182.340920041916,5297.469810652525,14997.550960702843,11576.604431759572,13216.759732612349,4474.746533438946,11957.735092152816,13610.205116952056,3265.18546832366,8308.03293717043
7563.81350092033,67.45548379417451,5699.611252577909,7961.88204437983,12879.337364184465,6423.483549731935,1888.7431896919647,6809.597763499292,2307.673134849222,3008.166199134707,5953.880180127029,5643.866559242953,10606.87741366749,9537.390179378535,8599.221309782984,6391.615326222664,8499.698702028549,11293.602717680737,1711.9551376327677,11486.642615722156,6348.072655936028,8944.550249159289,11803.087150126765,2688.0669240655543,1716.9569916750374,592.3489427951085,9978.60479292998,3271.0455671119958,11063.800959798453,10771.436448915569,5388.858899851085,6813.50612657043,4020.5968351137194,7300.732238957552,9730.951534447016,5210.311785284591,10336.62105618611,4802.730874265103,5798.3479832149,3496.0725151788265,7952.925029870928,16505.289923923043,6363.5996297259335,1118.9738004408389,7080.327674718563,2394.1388415766837,3647.913178653283,4210.593186566472,4034.590099703936,1436.555212371485,5446.658658083337,11833.773094851616,8171.918993171735,11481.630398057468,11502.398693338964,9970.482782846992,6376.949405441934,10380.327170316416,7740.341343937381,7267.236980949475,6345.599511517617,5823.346297796868,8758.938143254596,5165.500459313238,5827.607232417538,10436.40996011289,5203.516368833898,13669.444651448755,2742.57089369107,10323.157813259731,12770.618644430731,5687.200175273244,10333.297412727983,5372.414339262961,3212.445833375858,4669.660407703545,7600.434707300172,5290.165964135382,3772.183693699752,12981.085606514504,3442.1752295373376,5079.683787955451,9561.559647401124,10955.550062442771,2638.4100512371524,4414.131286789358,4820.691001507002,15394.406515789502,2831.526213480425,2165.892076318973,11320.744876178103,6934.22003648081,7823.316605275529,14180.174189372356,5986.392744683891,7452.844775767258,10608.232301366115,9834.973252599986,12186.56650149321,14491.021340112433,6869.579959192228,12649.449371984052,5945.699497232471,7625.1002729296815,5648.07286915905,7997.982008870386,3371.885413081747,4336.568785191878,10043.649548013896,3557.392124410659,11656.956680497082,3755.73924951395,7812.191438078626,7631.980655592942,5555.245305754316,2336.7263375179778,2333.761990397276,9933.295496759683,8624.588665949617,5094.734587430524,5804.725402130035,12196.27335036441,2367.6164804781515,7571.737283410322,11972.143872112356,9285.623475465309,10596.504073479156,15901.561134610249,17323.951630257838,4329.462461304981,2538.5416288216206
4243.150157716287,5699.611362733081,51.5297880182404,11655.905498334208,15152.402953023668,840.6948647618372,5048.706435167575,1606.4918421802836,4097.628784221579,3872.137251955764,427.6985719390364,3272.600633627724,8765.770178920286,7305.17492029487,10933.136373178388,9313.150859237458,8182.532226806821,10068.812315350326,4028.353939255872,7765.124603596444,1165.678378464672,12422.310214608313,8004.22609619096,4599.938174902294,3985.707801412677,5067.158986091452,9970.575041215316,6392.898055806187,10431.74947863026,9180.502796972976,1362.041645011162,1361.8272453512825,4002.412087835627,1740.4698586405564,8652.942564428036,1511.830477442628,10898.798501552716,1586.7405243076175,1875.159816281216,4000.245937740331,2244.5770293505097,16719.37689967497,1461.3211984522434,4694.7597934718415,2027.7766237872647,4368.601472105664,4730.314873973368,4668.047882892778,4736.435048772567,4404.4314971856775,417.38467298798736,10582.829442641349,8527.123039377737,8745.373977749523,10315.879062094302,8843.217126681602,686.7045601328924,10216.800577968255,5701.819199497898,2399.993751246708,2830.331228427141,2347.311332900146,3678.642757949541,1681.484610527313,638.0879758833925,9258.733901512143,1760.1794951014508,9379.686061577226,5035.818691792431,8713.028134860453,8663.249819255483,2865.4376523421333,8201.588921199855,1604.5573518909218,4897.85840434395,1097.3488651955204,6999.73846211971,2478.302304491844,7288.114875096149,10732.36753188218,4060.314582615902,748.5032598556506,7572.374476312687,6484.16525748619,7066.236965229419,4167.796427816124,7862.0974311484815,16226.308649892824,3326.595626968651,3920.293512337497,10417.922690478625,1649.8284186952,2251.824865809876,17853.210104763075,4035.984339855872,4758.68694403711,10190.64290068008,11367.351697954056,10002.098317086646,13633.703480891842,1170.3465366483133,8390.77390699992,2468.810597540935,10822.893430094568,3401.936513230004,2473.98896754361,3174.9109834652777,4613.111978716649,9419.953885964373,4842.71759688003,10539.579906373834,4847.665889718378,8305.766760069266,1979.045962363338,1656.0914166165128,3342.387985699116,4200.356576159036,8247.475483446415,8523.528975914749,1014.1682462236548,949.040067237818,9136.222717398145,4676.669983757967,11430.06929167206,8710.583374584434,9079.924715140274,8719.470897901545,15972.657453661936,16786.036351368173,3796.269625234375,7839.691023999466
15333.278881617214,7961.88251011391,11655.905387961157,96.14933739711266,12018.27298520385,11742.89460578259,9824.102613066503,11297.55818193397,8038.747869603754,7978.479089457158,12107.875316683016,13438.250484668382,6735.502487360304,7292.1102348099075,1720.9895079003131,2089.280995590452,5138.218557749544,16812.5806715704,9299.554802612778,9291.208479883928,11224.967523673246,941.6383425218226,19099.029150775405,7330.834221126838,8710.611841825557,8334.130113354073,4564.051212421863,10574.869775030766,5390.736064785538,6444.275207611924,12359.63009660262,11635.889427048343,11975.776858988553,11998.34026638424,5847.683242578112,10158.873266281073,4000.595764131765,11921.355660966445,10055.902569811684,11449.233720312684,12961.212579728332,11580.67124461408,10921.862848038236,8207.468217236767,11128.22154206535,7690.250138437345,6961.451026713158,6993.322085002361,6927.294873172359,8333.955637965155,11765.431367091978,6189.425756765961,4410.980539101606,18677.96035761452,6056.113658220797,5890.566474623982,11965.86836315956,15568.051864331504,15654.853947643502,10904.644479999297,13869.849733695371,13245.134405701116,11365.022618536545,12343.80024863571,11205.742559273202,5943.41735780248,12423.315896469869,18297.71892319726,10636.266548061383,17199.243625912583,19137.752545398795,13346.937249807692,17680.315567537727,12488.530481823496,6880.921083431605,10805.202291879468,15068.91030946827,9309.050145109528,10420.45401018331,7460.572168976691,7656.398776152349,10944.78407695374,17141.460578676822,17985.131073253273,9221.290941899886,7498.960690516156,11160.82857507371,12132.11767811503,8710.780655155873,8342.666535111694,5723.027077872192,11426.257837390018,12192.733972537148,10144.12169056322,13913.10372897547,15374.710828659849,5092.467158147733,2829.0773655730027,17771.709408085706,14607.729825363038,12216.999448149623,19035.42190182217,9621.496902225486,843.2077205061876,13475.788125317617,14105.40303931375,11140.105134602603,7051.928966694515,16110.50373654873,6867.199760446169,6013.568025050284,11660.55538252752,4387.24118153167,12393.8690365439,12671.831015493684,9492.862550399424,7908.482310920575,17126.632494275833,4839.623916785919,10642.174492506563,12462.04434988654,18949.552625505043,10329.28950146207,308.4920684044005,8608.022038341831,4852.384376804664,17513.16300296534,12414.300116419738,11055.515675160894,12267.062828807218,8024.234046230803
11020.75074138279,12879.33782705264,15152.402924639624,12018.272781130028,153.6287041996413,15559.910589306635,12045.1245379969,16277.454791944549,15161.884521867178,15855.484167925097,14767.501519349507,11933.787576349469,15732.450849462211,17147.969254141728,13349.076689329711,13983.355490239728,16469.81291992174,5376.192499492313,13594.17669850596,15223.987629369763,16122.696299864128,11568.014495248486,8277.413619887959,15561.89899502772,14261.86708250962,13304.39140784615,14759.132423700756,10216.522364604682,14264.658846389242,15359.710951048646,13844.526734694073,15890.816474219087,11756.072777114256,15687.461885328064,16041.869343142262,16482.095247640846,13838.834593372369,13834.256797674503,17016.018856127994,12013.785761572892,14815.121467632614,3570.841286892577,16464.89555646791,13945.952786425423,16563.958196647265,15291.74634240669,16428.264993863922,16982.34417157213,16791.761903598806,14203.948420962412,14785.517217816609,13964.982260966382,16018.035294445006,7083.217494771345,14270.040119233376,15840.070039582084,15262.112772186756,4883.979345634392,9443.405581639832,16859.132920941986,12296.94380424664,12804.773227476651,16421.441938376607,13586.188373912595,15799.780672209736,15397.62036730988,13495.23063619156,7789.92027250437,11501.058268638364,6642.099462691049,8080.572598798447,12322.205051385754,7233.671345738206,13606.547167498593,15968.127508558113,15261.69787035546,8156.798430637303,17351.397266188233,9412.234856535906,13362.181953274308,16317.9874138602,15504.818477306444,7738.154530775915,9898.243425162049,10349.019288289828,17280.148725307048,8450.829438812041,2240.3695923952496,15377.226469950238,14901.020885243975,14229.453773564124,16186.891890914829,15611.193778343537,2556.2638485812795,11156.037161604596,10463.179574466569,14537.37362417944,13247.034547970768,5829.599651641554,2923.757329491813,15244.549263014753,8404.271018506086,17572.809534979326,12964.233687684293,11808.698808312076,13270.877338355702,12950.286258668611,17120.85193749528,5773.682921340414,16306.537954898697,14049.19893375033,11100.39018864976,16041.727548451832,15348.116929383365,13522.333398318402,14206.07728106014,15212.63037597148,7067.9630621323495,16132.113422558588,15873.482706943769,14112.295267389009,6982.515205834538,12061.033069605048,12069.768153458346,14589.168107848787,15625.261128759304,6690.733214326181,2763.163847947956,4724.266225143933,11809.683663363629,10412.115536276944
4557.808694665636,6423.483564306123,840.6948587703973,11742.89471780924,15559.9106919282,62.76521297769611,5876.401733008035,840.9504961552177,4631.608664418408,4295.404050517871,943.9929363323082,3907.296040472954,8143.937002163221,6703.51404050619,10802.576413076406,9395.406235349305,7806.546181556067,10318.952488764677,4792.443617191834,6991.415475813399,477.543685405426,12418.732700342554,7904.206377468042,5025.581612192541,4675.551504081186,5791.343056915964,9526.357872522183,7230.917394930443,9877.986548498962,8570.382475010365,2075.0796202025203,529.5918752251833,4810.903192158878,920.834590663518,8135.827782562349,1636.010496764294,10481.559556920412,2400.534782227771,1628.710592436196,4832.288332957286,1583.7673096967906,16343.466337406917,920.6031101221016,5367.779950795201,1267.3907698845603,4859.473367372245,4986.01608304465,4818.93036174101,4920.504553280248,5065.028042314112,1248.7025755021928,9948.22228698782,8232.251846767076,8820.835396981998,9700.688081044696,8308.863697121824,265.830783077683,10623.513700026104,6118.731492416848,1654.1999595262266,3308.603200016822,2926.1065032800343,2849.795138637457,2424.995715015544,618.7314538754621,8695.902628641754,2491.009534741999,9106.568186349556,5876.51537808579,8989.434840743996,8466.31857141502,3484.942574969383,8423.058883714704,2306.2208428066137,5227.090994954547,1783.3872969305448,7541.010334823951,2414.9456911836287,8125.18010807329,9996.63847153756,4381.561190021394,1346.2274465707865,7860.563659368636,6316.096536368369,7899.669042981134,4280.005579542593,8680.119346215733,16149.078987991192,3878.819607891445,4516.206419334978,9831.378896285109,853.0120298745377,1429.093072750866,18095.77622677412,4635.832224897204,5142.39894901654,9677.7446593019,11070.024056768363,10094.711670651972,13652.596873108148,493.1118613356301,8173.433300754144,2167.879372246893,10860.236249950674,4038.60309382221,2176.7786272080693,4013.115656638731,4738.995660900316,9806.372709993904,5113.130010372691,9921.98066231844,5667.990931137366,8063.10502854703,1194.5089792194517,2306.407043686492,4082.047766519614,4717.809105449898,8541.56938138886,8157.499954584775,1387.203383123321,1573.4304661026797,9125.473821501377,5513.996086568545,11565.68315566053,7946.58578344944,8662.109097916382,8946.963641418011,15790.429466335268,16177.52493069782,4586.344399246825,8640.58944590315
5842.157092494269,1888.743190700008,5048.706507194258,9824.102333527251,12045.125096585782,5876.401891573827,51.52087616951126,6494.70538450952,3276.231359667659,3916.3555318035865,5151.413553823045,3985.7936924523015,11893.880182902249,10621.742787376852,10483.463009343192,8260.768302594412,10016.955067870367,9499.853127560162,1537.8636499412328,12137.67478517142,6000.701880760699,10797.0292017703,9965.252040626969,3947.9624398188016,2286.9462742785545,1710.547242310195,11652.653337840662,1819.087910301404,12685.29724670911,12142.068233863863,4282.671236229523,6369.474162785136,2229.985299584252,6787.887291752477,11159.223668124108,5160.203110848462,12117.970031418325,3714.487708571912,5852.651295299587,1732.4283471222443,7188.772566542315,15861.92587193386,6138.026697666144,2201.9130964869746,6859.580877969062,3536.0399545936466,4910.682525217212,5407.289298053703,5269.636358706632,2340.3651228913614,4677.892072076825,13370.026780066995,9804.933485687996,9593.658946596064,13030.349721469434,11403.894199512506,5728.995759483663,8695.952635233314,5863.703140966999,7145.073554608458,4810.686563367068,4391.620385863555,8605.628632340855,3974.255918379245,5402.023868736606,11890.817345585929,3979.891820837464,11838.561360777876,852.7606269489585,8462.646092900784,10939.151882952376,4123.324051913824,8449.384028483704,4184.543560587887,4565.129075032845,4206.443758528832,5739.477079968455,5610.595936601768,2629.500732117558,14318.733368096844,4453.395304826838,4640.830234135199,7675.576506581996,9254.0017410333,2012.5729189606627,5421.978785168359,3563.4134536643896,14546.527058025427,3325.511392273241,2949.4207171755384,12901.596568672125,6586.342949680972,7309.032292504834,14057.03602682811,4197.45920291444,5640.112427329912,12244.04343001873,11696.998514988964,10330.245707749811,12976.678915482233,6208.126358644252,10842.944092376229,6184.773621993783,9516.417638307366,3963.143474266476,6865.738796646957,2005.309223244282,5504.28037767549,8273.672290447696,4866.1767814457735,13212.323065794884,1861.5820203285657,9323.095246947403,7023.175464613315,4338.331453061392,2190.032619818757,3370.498627176829,8061.151764811939,10197.110536238237,4809.498641733831,4785.665054933364,10309.11916307416,526.8892776038699,9428.5626134902,12877.76048927486,10881.33273450955,8731.601019912683,14927.018130073897,16992.35453554335,2571.1112854686994,2847.7459841970235
5326.836492420209,6809.597756947712,1606.4918625999317,11297.558195458854,16277.455021233043,840.9505069463694,6494.705229558151,50.036265876137165,4798.0831860580965,4348.228399274293,1796.7863370390542,4760.56912432295,7300.451813562551,5867.177905661192,10197.479614707889,8977.309437908823,7067.956879186551,11000.69568904609,5274.3680738566645,6166.929834633521,497.7357011728127,11888.513314878786,8346.51936635923,5053.933837600109,5037.730846834676,6187.941397642736,8741.638270443818,7956.30156089312,9049.410523015424,7729.623754031556,2916.9577714621664,325.70561987645215,5610.648716212684,720.7948131944942,7325.022268460832,1666.0528699775823,9705.348335853212,3200.3525620917967,1299.581056597748,5594.236583682823,1697.4529004499516,16317.03926552593,378.6807471774299,5694.6593562305325,399.55275055572616,4967.718690357051,4833.488850975161,4567.296540594732,4698.073688483416,5381.082729861142,2042.5664219992411,9100.905166247472,7540.008702539893,9396.058501156884,8856.838928544374,7490.765731019776,1148.0833286989507,11393.785288751007,6916.634316179508,804.6476894714593,4148.886210601652,3781.066698747701,2119.0789766240136,3260.481600573046,995.9626313701418,7866.99196367776,3330.5336439478674,9368.437303887202,6581.4458077311065,9698.31158789498,8815.202461772138,4338.213981405623,9103.640014940303,3151.675111154816,5143.527638155298,2296.0306310367,8374.817640295318,2117.8027271455558,8855.600688846964,9157.327082016236,4320.260121574978,1853.648484384488,8585.31604978119,6731.256151316913,8527.009583016865,4011.603667054747,9464.615445090656,16440.069431547843,4093.62123533729,4759.371897817342,8993.701253596864,141.44629153487278,1087.7989083290197,18522.8528775566,5485.930483721522,5930.69546606871,8863.654137045889,10354.456708005047,10668.438931048446,14112.6057667381,1042.020229406717,8507.136329957422,1657.7288547003825,10384.90539460321,4891.840293657697,2694.6454929769607,4733.1642897294505,4465.798420151005,10570.570904234752,4971.589320882741,9077.453455568882,6455.977110821483,7413.008639099556,1103.5723832707397,3158.2345814435857,4537.252077632036,4861.9586674971415,9264.127217811974,7422.12056092291,1718.9499240320254,2442.99768130296,9629.126325953146,6178.721797985466,11165.516196541914,7096.714628136889,7895.224011418567,9626.69417331406,15994.359273088729,15894.113210517697,5403.4030516661805,9159.604798984436
7323.327267119643,2307.6730859428885,4097.628753381766,8038.747723520659,15161.884375709356,4631.6086371406045,3276.2314097132985,4798.083199068738,80.77615077495224,683.7177695648325,4476.754081881938,5496.276334697327,8624.651294839303,7399.013612167309,7995.511642742259,5893.825286813087,6788.183074142311,12396.11696527776,1807.634811936238,9170.176589277462,4395.576728505125,8965.180232127566,11645.769022154183,802.7396675523238,1055.390011199236,1857.237929102737,8516.445825890469,5076.389742942498,9481.319602160183,8866.023763986786,4381.089467974734,4897.953253577204,4499.088701891368,5404.206571621513,7892.129882719356,3141.418963085973,9123.205536891564,3898.681954269105,3620.900150295112,4031.608244114378,6225.572793470282,18819.98727943401,4317.890667666567,1198.006234009419,4988.7786168655,387.0430615910997,1657.045280192664,2137.234367716648,2009.1528583923332,953.9056712781004,4012.8764418892474,10116.264549576576,6664.572150517783,11890.364513053037,9776.910550104096,8136.700520321105,4684.812767792446,11817.581089256328,8119.10004501817,5111.473266442674,5838.974007135387,5216.054109279511,6566.399286832415,4320.24921992234,3991.030130708754,8625.243993031763,4395.880374331486,13296.100433275791,3986.303988526103,11162.759652039516,12481.82554504491,5340.1686249722925,10936.959173205494,4479.661600247207,1407.5344157587458,3045.117673444705,8575.374795141026,3014.879912390932,5793.235918066552,11062.872630403306,1196.4119790848397,3361.4329469806166,10157.335164508477,10354.143057420108,4821.355518809099,2167.376214717167,6796.721045301779,17698.231963173108,709.2355924121555,289.2411342398167,9670.812713926754,4937.707509637487,5890.407348788333,16404.435933820474,6117.825839432458,7488.798455547281,9057.243044089748,8980.007811889096,12936.24720587106,16135.91298880384,5138.891318094728,12254.734721559938,3678.4475153143226,7390.0085337925075,5560.295562588021,6658.714476149603,3323.185832064245,2232.44784111986,11270.338187541534,1648.1013083453613,9966.84097404825,4748.681320238092,6357.732858863074,5788.825645843917,4667.351439140235,1577.237413134272,173.31777908113614,10701.535639448191,6998.249171972871,3228.3885431239414,4604.432808547039,12491.34046087462,3435.135459591247,7719.847887705915,9726.443872398564,7683.785147355844,11343.080578464958,18153.98329739613,19089.99408591241,4657.515473942429,4867.746321439586
7456.0559339097135,3008.166179956938,3872.137207469704,7978.478860115177,15855.484252283004,4295.404146970252,3916.355514467248,4348.228468728926,683.7177521282719,74.67636988029619,4287.127935450493,5718.267625999161,7975.609470759458,6722.671747155757,7729.819736979869,5717.326962203886,6220.176890997512,12796.662728653975,2394.846710263296,8465.74410050529,3987.765804871271,8861.401834553548,11686.786216587128,715.4864859257741,1675.4348525692951,2558.969857481202,7994.762456644457,5731.521101593328,8917.963322188894,8232.263236289513,4380.105476051185,4494.2373120945285,4926.528808733388,4996.651312036783,7280.195999275268,2711.1464264047013,8659.405010930783,3963.460906303512,3096.567177158772,4493.150055753176,5873.728942152712,19384.157581612868,3863.8613293826106,1908.7430417859196,4492.331439412606,614.2051405427974,1133.9621228373803,1530.2595214439968,1435.5007951915104,1650.1038224664337,3865.676596625749,9515.633281266242,6157.261882916156,12097.25697105476,9177.23696028873,7524.181259450483,4393.018796224204,12323.697990303946,8405.969846181728,4575.900787786438,5938.968773059263,5309.208686329078,5993.269719879518,4380.226840318037,3660.384019810307,8014.559767874328,4464.526706617181,13222.841455468564,4583.4656333796365,11512.944312727524,12460.751968429133,5509.895843522789,11224.37605937706,4514.258820989855,1083.2704407446004,2872.585265370541,9011.36049269075,2429.427486332778,6469.948693745941,10416.206660493595,519.6454511313948,3122.485632901273,10459.51921217272,10295.707126329313,5513.924353254961,1472.2060932736847,7462.965025476653,18392.724862446838,658.84528555476,990.0122469029376,9089.471720193003,4492.277281994718,5455.684623710212,16965.069066893626,6394.73079851623,7697.149670237934,8506.185297359427,8618.365341690975,13218.047443566396,16614.00975515019,4814.566254618735,12208.221863499932,3087.1902841543283,7253.613124331884,5796.839235584587,6448.390620933209,3699.7975096713462,1607.2635992247465,11726.897158953156,1187.9744137844848,9373.605139251766,5272.2602215929855,5869.326136207157,5396.920713196953,4694.251608646073,1991.842525712838,632.7242564084291,11040.908338754289,6451.578881534812,2920.6665624721627,4517.5504553923965,12647.341880467391,4025.2700144521696,7691.446254203924,9021.708264636523,7135.22349731046,11661.608421937908,18829.304371597147,18893.70427535638,5042.281565902491,5551.136810736063
